Nysa Aligre	3 Place d’Aligre	75012
Nysa Avenue de Versailles	205 Avenue de Versailles	75016
Nysa Batignolles	30 Rue des Batignolles	75017
Nysa Belleville	122 Rue de Belleville	75020
Nysa Bourg La Reine	1 Bis Rue René Roeckel	92340
Nysa Bourguignons	66 Rue des Bourguignons	92600
Nysa Bretagne	33 Rue de Bretagne	75003
Nysa Capitaine Ferber	3 Rue du Capitaine Ferber	75020
Nysa Caulaincourt	121 Rue Caulaincourt	75018
Nysa Clichy	72 Rue de Neuilly	92110
Nysa Colombes	63 Rue Saint-Denis	92700
Nysa Daumesnil	254 Avenue Daumesnil	75012
Nysa Faubourg Saint Denis	59 Rue du Faubourg Saint Denis	75010
Nysa Gambetta	216 bis Rue des Pyrénées	75020
Nysa Garenne Colombes	4 Bis Rue Voltaire	92250
Nysa Lancry	55 Rue de Lancry	75010
Nysa Lecourbe	108 Rue Lecourbe	75015
Nysa Les Lilas	70 Rue de Paris	93260
Nysa Levis	25 Rue de Levis	75017
Nysa Martyrs	39 Rue des Martyrs	75009
Nysa Montorgueil	94 Rue Montorgueil	75002
Nysa Montrouge	61 Avenue de la République	92120
Nysa Pyrénées	104 Rue des Pyrénées	75020
Nysa Rambuteau	29 Rue Rambuteau	75004
Nysa Rendez Vous	24 Rue du Rendez-vous	75012
Nysa Rochechouart	32 Rue de Rochechouart	75009
Nysa Rueil	6-8 Place de l'Église	92500
Nysa Saint Antoine	95 Rue Saint-Antoine	75004
Nysa Sceaux	86 rue Houdan	92330
Nysa Sécrétan	17 Avenue Sécrétan	75019
Nysa Tocqueville	76 Rue de Tocqueville	75017
